Branch,Code,RoleSlug,FitScore,Directness,Rationale,SourceKind,SourceUrl,SourceRetrievedOn
army,15T,aircraft-mechanic,98,direct,"UH-60 maintenance maps directly to rotary-wing aircraft mechanic work, especially airframe, powertrain, inspections, and troubleshooting.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15T,maintenance-quality-lead,78,adjacent,"Experienced technical inspectors, crew chiefs, and NCOs can translate into production, quality, and maintenance-control tracks.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15U,aircraft-mechanic,98,direct,"CH-47 maintenance maps directly to tandem-rotor aircraft mechanic and field-service maintenance roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15U,maintenance-quality-lead,78,adjacent,"CH-47 senior-maintenance experience can support inspection, quality, and maintenance-control roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15R,aircraft-mechanic,97,direct,"AH-64 maintenance maps directly to attack-helicopter mechanic and sustainment work.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15R,maintenance-quality-lead,76,adjacent,"AH-64 inspection and production experience can support quality and maintenance-control tracks.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15N,avionics-technician,98,direct,"Aircraft avionics troubleshooting maps directly to avionics technician, mission-systems, and field-service roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15N,maintenance-quality-lead,72,adjacent,"Senior avionics troubleshooters can translate into production, quality, and technical-representative roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15F,avionics-technician,90,direct,"Aircraft electrical maintenance maps closely to avionics/electrical technician roles, especially power, wiring, and flight-control support.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
army,15F,aircraft-mechanic,72,adjacent,"General aircraft maintenance employers often value electrical specialists for broader mechanic teams.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AD,aircraft-engine-specialist,98,direct,"Aviation machinist mate propulsion work maps directly to aircraft engine and powerplant maintenance.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AD,aircraft-mechanic,88,direct,"AD experience also supports broader aircraft mechanic roles when paired with platform and inspection records.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AM,aircraft-structures-technician,98,direct,"Aviation structural mechanic experience maps directly to airframe, sheet-metal, composite, and structural-repair roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AM,aircraft-mechanic,86,direct,"Structural maintenance experience is a strong component of broader aircraft mechanic work.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AE,avionics-technician,92,direct,"Aviation electrical experience maps closely to avionics, electrical, and flight-control support roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
