state,NoIncomeTax,RetiredPayTax,DisabledVetPropertyTax,EmploymentPreference,EducationBenefit,ParksBenefit,HuntFishBenefit,Summary
AL,N,exempt,Y,Y,Y,,Y,"Military retired pay exemption, property-tax exemptions, Alabama National Guard Education Assistance, dependent/tuition assistance, employment preference, veteran tags, hunting/fishing license privileges."
AK,Y,no_income_tax,Y,Y,Y,,Y,"No state income tax, Permanent Fund Dividend, property-tax exemption for qualifying disabled veterans, military credit toward state retirement, education assistance, veteran land purchase discounts, employment preference, tags, hunting/fishing privileges."
AZ,N,exempt,,,Y,Y,Y,"Military pay and military retired pay income-tax exemptions, license-fee/tax exemptions, education/tuition help, veteran plates, state park benefits, hunting/fishing privileges, Military Family Relief Fund."
AR,N,exempt,Y,Y,Y,,Y,"Military pay and retired pay exemption, property-tax exemptions, state employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges, state veterans homes."
CA,N,partial,Y,,Y,,Y,"Partial military retired pay/SBP exclusion beginning with tax year 2025, disabled-veteran property-tax exemptions, California Military Department GI Bill, education/tuition help, military/veteran plates, hunting/fishing privileges."
CO,N,partial,Y,Y,Y,,Y,"Military retired pay tax subtractions, property-tax exemptions, state employment preference, education/tuition assistance, plates, hunting/fishing privileges."
CT,N,exempt,,Y,Y,Y,Y,"100% military retired pay exemption, Soldiers/Sailors/Marines Fund, state employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges, disabled-veteran state park pass."
DE,N,partial,,Y,Y,,Y,"Partial military retired pay exclusion, no state/local sales tax, state employment preference, education/tuition help, special vehicle tags, veterans home, burial benefits, hunting/fishing licenses."
FL,Y,no_income_tax,Y,Y,Y,,Y,"No state income tax, homestead/property-tax exemptions, state employment preference, education/tuition assistance, veteran tags, hunting/fishing privileges, recent HDGAP benefit for eligible discharged students."
GA,N,conditional,Y,Y,Y,,Y,"Military retired pay exclusions by age/income, disabled-veteran homestead exemption, employment preference, education/tuition assistance, free driver's licenses, vehicle tags, veterans nursing homes, hunting/fishing privileges."
HI,N,exempt,Y,,Y,,,"Military retired pay exemption, property-tax exemptions, Hawaii National Guard tuition assistance, vehicle plates, passenger-car tax exemption, state veterans cemetery benefits."
ID,N,conditional,,,Y,Y,Y,"Military retirement deduction for older/disabled qualifying retirees, Idaho National Guard education assistance, state park passes, veteran plates, hunting/fishing privileges, disabled-veteran plate benefits."
IL,N,exempt,Y,Y,Y,Y,Y,"Military retired pay not taxed, strong property-tax exemptions, adapted housing/mobile home exemptions, employment preference/assistance, education/tuition assistance, veterans homes, burial benefits, plates, hunting/fishing, state park camping privileges."
IN,N,exempt,Y,,Y,Y,Y,"Military pay and retired pay income-tax exemptions, property-tax exemptions, education/tuition assistance, military plates, hunting/fishing licenses, state park privileges."
IA,N,exempt,Y,Y,Y,,Y,"Military pay and retired pay exemptions, military property-tax exemption, 100% disabled-veteran homestead tax credit, employment help, tuition assistance for children of deceased service members, plates, hunting/fishing benefits."
KS,N,unknown,Y,,Y,Y,Y,"Military service credit in Kansas Public Employees Retirement System, emergency financial relief, National Guard education assistance, homestead refund for qualifying disabled veterans/survivors, plates, wildlife/parks benefits."
KY,N,unknown,,Y,Y,,Y,"State tax exemptions, employment preference, education/tuition assistance including dependent tuition waiver, vehicle tags, disabled sportsman license, hunting/fishing privileges."
LA,N,unknown,Y,Y,Y,Y,Y,"Property-tax exemptions, state employment preference, education/tuition assistance, vehicle tags, state park passes, hunting/fishing privileges, resident-price licenses for stationed nonresident active-duty families."
ME,N,exempt,Y,Y,Y,Y,Y,"Income-tax and property-tax exemptions, employment assistance/preference, tuition assistance, reduced state parks/campground fees, plates, hunting/fishing privileges, free noncommercial shellfish/lobster/crab licenses for qualifying disabled veterans."
MD,N,exempt,,Y,Y,,Y,"Military retired pay tax exemptions, education/tuition assistance, employment services, military vehicle tags, hunting/fishing privileges, WMATA disabled-veteran reduced fare access in the DC area."
MA,N,unknown,Y,Y,Y,,Y,"Bonus program, veteran annuities, veterans employment hiring preference, property-tax exemptions, education/tuition assistance, vehicle tags, hunting/fishing privileges."
MI,N,unknown,Y,Y,Y,,Y,"Property-tax exemptions, National Guard State Tuition Assistance, National Guard state retirement pay, employment assistance, civil service preference, SDVOB state-contract pricing preference, plates, hunting/fishing benefits."
MN,N,unknown,,,Y,Y,,"Short-term financial assistance for veterans/surviving spouses, state active-duty compensation, education benefits for veterans/service members/families, special plates, free state park passes for certain service members/disabled veterans/Purple Heart recipients."
MS,N,exempt,Y,Y,Y,,Y,"Military retired pay tax exemption, property-tax exemptions, state employment preference, education/tuition assistance, military vehicle tags, hunting/fishing privileges."
MO,N,exempt,Y,Y,Y,,Y,"Military retired pay exemption, property-tax credits/exemptions for qualifying disabled veterans/POWs, state employment preference, education/tuition assistance, military plates, hunting/fishing privileges."
MT,N,unknown,Y,Y,Y,,Y,"Property-tax exemptions, Montana National Guard Tuition Waiver, broader education/tuition assistance, veteran preference in public/private employment, plates, hunting/fishing privileges."
NE,N,unknown,Y,,Y,,Y,"Nebraska Veterans Aid Fund, homestead property-tax exemptions, tuition assistance for service members/veterans/dependents, plates, hunting/fishing licenses."
NV,Y,no_income_tax,Y,Y,Y,,Y,"No state income tax, disabled-veteran property-tax exemption, state employment preference, education/tuition assistance, vehicle tags, state veterans cemeteries, hunting/fishing privileges."
NH,Y,no_income_tax,Y,Y,Y,Y,Y,"No broad individual income tax, property-tax credits/exemptions, war bonuses, state employment preference, education/tuition assistance, plates/parking privileges, state park admission, hunting/fishing benefits."
NJ,N,exempt,Y,Y,Y,Y,Y,"Military retired pay income-tax exemption, property-tax exemptions, state employment preference, education/tuition assistance, vehicle tags, military service medals, burial benefits, free state park admission, free private beach access, hunting/fishing privileges."
NM,N,unknown,Y,,Y,,Y,"Property-tax exemptions, National Guard Tuition Scholarship, education/tuition assistance, vehicle tags, hunting/fishing privileges, free lifetime hunting/fishing card for 100% disabled veterans."
