EmployerSlug,DisplayName,ParentCompany,EmployerType,ExistingDefenseEmployerSlug,WebsiteUrl,Notes,SourceKind,SourceUrl,SourceRetrievedOn,SkillBridgeStatus,SkillBridgeParticipationType,SkillBridgePathways,SkillBridgeRemoteAvailable,SkillBridgeNationwide,SkillBridgeTargetDomains,SkillBridgeDurationDaysMin,SkillBridgeDurationDaysMax,SkillBridgeMouExpiration,SkillBridgeSourceUrl,SkillBridgeVerifiedAt,SkillBridgeNotes
amentum,Amentum,Amentum,defense_contractor,amentum,https://www.amentumcareers.com/veterans,"DoD aviation maintenance contractor with postings that map directly to rotary-wing military experience.",careers_page,https://www.amentumcareers.com/veterans,2026-08-29,active,direct_employer,direct_internship,False,True,aviation_maintenance|logistics|nuclear|intelligence|engineering,,,,https://www.amentum.com/culture-and-values/veteran-military-family-support/,2026-08-29,Amentum Hires Heroes is documented as a direct military transition path.
l3harris,L3Harris,L3Harris,defense_contractor,l3harris,https://careers.l3harris.com/,"Defense and aerospace employer with aircraft maintenance, avionics, mission-systems, and SkillBridge paths.",careers_page,https://careers.l3harris.com/en/search_jobs/oconus/4832/1/1,2026-08-29,active,direct_employer,direct_internship|dedicated_requisitions,False,True,ew_rf|communications|avionics|aircraft_maintenance|electronics|space|engineering,,,,https://careers.l3harris.com/en/search_jobs/bridge/4832/1/search_jobs,2026-08-29,L3Harris has dedicated SkillBridge requisitions across technical and engineering families.
bell-textron,Bell / Textron,Textron,oem,bell-textron,https://careers.textron.com/military-veterans/,"Rotorcraft OEM and support employer; especially relevant to Army and Marine helicopter backgrounds.",careers_page,https://careers.textron.com/military-veterans/,2026-08-29,active,direct_employer,direct_internship,False,True,helicopters|aviation_maintenance|engineering|uas|manufacturing,,,,https://skillbridge.textron.com/,2026-08-29,Textron runs a direct SkillBridge program covering aviation and manufacturing tracks.
lockheed-sikorsky,Lockheed Martin / Sikorsky,Lockheed Martin,oem,lockheed-martin,https://www.lockheedmartinjobs.com/,"Sikorsky/Lockheed aligns strongly with H-60 and broader aircraft sustainment experience.",careers_page,https://www.lockheedmartinjobs.com/search-jobs/maintenance/,2026-08-29,active,convertible_requisition,direct_internship|convert_existing_requisition,False,True,avionics|aircraft_maintenance|engineering|cyber|ew_rf|logistics|program_management,,,,https://www.lockheedmartin.com/en-us/careers/candidates/military-veterans/heroes.html,2026-08-29,Lockheed Martin documents SkillBridge access and notes ordinary openings may be convertible.
boeing,Boeing,Boeing,oem,boeing,https://jobs.boeing.com/,"OEM and sustainment employer for CH-47 Chinook and AH-64 Apache-related backgrounds.",careers_page,https://jobs.boeing.com/,2026-08-29,active,direct_employer,direct_internship,False,True,aircraft_maintenance|manufacturing|engineering|logistics|aviation,,,,https://jobs.boeing.com/en/Veterans-SkillBridge,2026-08-29,Boeing documents a direct SkillBridge transition path for US service members.
collins-aerospace,Collins Aerospace,RTX,oem,collins-aerospace,https://careers.rtx.com/global/en/collins-aerospace,"Aviation systems, avionics, mission systems, structures, power, and controls roles under RTX.",careers_page,https://careers.rtx.com/global/en/collins-aerospace,2026-08-29,unknown,,,,,,,,,,,
pratt-whitney,Pratt & Whitney,RTX,oem,pratt-whitney,https://careers.rtx.com/global/en/pratt-whitney,"Best fit for propulsion and engine-maintenance backgrounds.",careers_page,https://careers.rtx.com/global/en/pratt-whitney,2026-08-29,unknown,,,,,,,,,,,
v2x,V2X,V2X,defense_contractor,v2x,https://careers.v2x.com/,"Government aviation, logistics, and field-maintenance contractor.",careers_page,https://careers.v2x.com/,2026-08-29,unknown,,,,,,,,,,,
air-methods,Air Methods,Air Methods,civilian_operator,,https://www.airmethods.com/careers/,"Civilian EMS helicopter operator; A&P requirements are more likely than on DoD contracts.",careers_page,https://www.airmethods.com/careers/,2026-08-29,unknown,,,,,,,,,,,
phi-aviation,PHI Aviation,PHI Aviation,civilian_operator,,https://www.phihelico.com/careers/,"Civilian and government aviation operator with rotary-wing maintenance relevance.",careers_page,https://www.phihelico.com/careers/,2026-08-29,unknown,,,,,,,,,,,
bristow,Bristow,Bristow,civilian_operator,,https://www.bristowgroup.com/careers/,"Offshore and government helicopter operator with rotary-wing maintenance relevance.",careers_page,https://www.bristowgroup.com/careers/,2026-08-29,unknown,,,,,,,,,,,
erickson,Erickson,Erickson,civilian_operator,,https://ericksoninc.com/careers/,"Heavy-lift and utility helicopter operator/MRO.",careers_page,https://ericksoninc.com/careers/,2026-08-29,unknown,,,,,,,,,,,
columbia-helicopters,Columbia Helicopters,Columbia Helicopters,civilian_operator,,https://colheli.com/careers/,"Heavy-lift tandem-rotor operator; strong conceptual fit for CH-47 maintainers.",careers_page,https://colheli.com/careers/,2026-08-29,unknown,,,,,,,,,,,
bae-systems,BAE Systems,BAE Systems,defense_contractor,bae-systems,https://jobs.baesystems.com/,"Defense prime with ordnance systems, naval guns, artillery, munitions, electronic systems, and a military skills translator.",careers_page,https://jobs.baesystems.com/global/en/osi,2026-08-29,active,direct_employer,direct_internship|dedicated_requisitions,False,True,electronics|engineering|combat_systems|manufacturing|it|program_management,,,,https://jobs.baesystems.com/global/en/skillbridge,2026-08-29,BAE Systems documents direct SkillBridge opportunities and current dedicated requisitions.
gd-ots,General Dynamics Ordnance and Tactical Systems,General Dynamics,defense_contractor,general-dynamics,https://www.gdots.com/careers/,"General Dynamics business focused on ammunition, gun systems, aircraft guns, gun barrels, and ordnance products.",company_page,https://www.gdots.com/,2026-08-29,unknown,,,,,,,,,,,
raytheon,RTX / Raytheon,RTX,defense_contractor,raytheon,https://careers.rtx.com/,"RTX missile, air-defense, naval, sensing, and CIWS-related work is a strong weapons-systems transition target.",careers_page,https://careers.rtx.com/,2026-08-29,active,direct_employer,direct_internship|hiring_our_heroes,False,True,missiles|radar|air_defense|electronics|engineering|manufacturing,,,,https://careers.rtx.com/global/en/SkillBridge-Opportunities,2026-08-29,RTX/Raytheon exposes SkillBridge and Hiring Our Heroes fellowship opportunities.
lockheed-martin,Lockheed Martin,Lockheed Martin,defense_contractor,lockheed-martin,https://www.lockheedmartinjobs.com/,"Defense prime and OEM for missile, VLS, aircraft, fire-control, and weapons-integration programs.",careers_page,https://www.lockheedmartinjobs.com/,2026-08-29,active,convertible_requisition,direct_internship|convert_existing_requisition,False,True,avionics|aircraft_maintenance|engineering|cyber|ew_rf|logistics|program_management,,,,https://www.lockheedmartin.com/en-us/careers/candidates/military-veterans/heroes.html,2026-08-29,Lockheed Martin documents SkillBridge access and notes ordinary openings may be convertible.
northrop-grumman,Northrop Grumman,Northrop Grumman,defense_contractor,northrop-grumman,https://www.northropgrumman.com/jobs/,"Defense and aerospace prime relevant to aircraft armament, munitions, missile, electronics, and sustainment backgrounds.",careers_page,https://www.northropgrumman.com/jobs/,2026-08-29,active,direct_employer,direct_internship|dedicated_requisitions,False,True,aerospace|cyber|space|engineering|manufacturing|electronics,,,,https://www.northropgrumman.com/careers/skillbridge,2026-08-29,Northrop Grumman documents direct SkillBridge opportunities and current SkillBridge requisitions.
anduril,Anduril Industries,Anduril Industries,defense_contractor,anduril,https://www.anduril.com/careers/,"Defense technology employer relevant to weapons integration, field operations, autonomy, and launcher or mission-system backgrounds.",careers_page,https://www.anduril.com/careers/,2026-08-29,active,convertible_requisition,direct_internship|convert_existing_requisition|dedicated_requisitions,False,True,uas|autonomy|sensors|counter_uas|field_technicians|software|manufacturing,,,,https://www.anduril.com/veteran-careers,2026-08-29,Anduril documents SkillBridge roles and notes full-time roles may be converted.
hii,HII,HII,defense_contractor,hii,https://hii.com/careers/,"Shipbuilding and naval sustainment employer relevant to shipboard weapons and combat-systems maintenance.",careers_page,https://hii.com/careers/,2026-08-29,active,direct_employer,direct_internship,False,True,ew|cyber|isr|unmanned_systems|shipbuilding|fleet_sustainment|nuclear,,,,https://hiredtroops.com/skillbridge/providers/hii-huntington-ingalls-industries/,2026-08-29,HII/Mission Technologies is documented as a direct SkillBridge provider.
leonardo-drs,Leonardo DRS,Leonardo DRS,defense_contractor,leonardo-drs,https://www.leonardodrs.com/careers/,"Defense electronics employer relevant to electro-optical, fire-control, sensing, and field-service backgrounds.",careers_page,https://www.leonardodrs.com/careers/,2026-08-29,unknown,,,,,,,,,,,
kbr,KBR,KBR,defense_contractor,kbr,https://www.kbr.com/en/careers,"Government services and sustainment contractor relevant to ordnance, aviation weapons, logistics, and field-support backgrounds.",careers_page,https://www.kbr.com/en/careers,2026-08-29,active,direct_employer,direct_internship,False,True,space_operations|satcom|engineering|cyber|logistics|technical_operations,,,,https://careers.kbr.com/us/en/kbr-skillbridge,2026-08-29,KBR documents a direct SkillBridge program.
fn-america,FN America,FN America,defense_contractor,fn-america,https://fnamerica.com/careers/,"Small-arms manufacturer relevant to armorer, weapons repair, production, QA, and test backgrounds.",careers_page,https://fnamerica.com/careers/,2026-08-29,unknown,,,,,,,,,,,
sig-sauer,SIG Sauer,SIG Sauer,defense_contractor,sig-sauer,https://www.sigsauer.com/careers,"Small-arms manufacturer relevant to armorer, weapons repair, production, QA, and test backgrounds.",careers_page,https://www.sigsauer.com/careers,2026-08-29,unknown,,,,,,,,,,,
colt-cz,Colt CZ Group,Colt CZ Group,defense_contractor,colt-cz,https://www.coltczgroup.com/en/career,"Small-arms manufacturer relevant to armorer, weapons repair, production, QA, and test backgrounds.",careers_page,https://www.coltczgroup.com/en/career,2026-08-29,unknown,,,,,,,,,,,
leidos,Leidos,Leidos,defense_contractor,leidos,https://careers.leidos.com/,"Defense and national-security contractor with defensive cyber, SOC, threat hunting, incident response, and classified-network roles.",careers_page,https://careers.leidos.com/jobs/18103000-defensive-cyber-operations-analyst,2026-08-29,active,direct_employer,direct_internship,False,True,cyber|it|networking|ai_ml|c2|systems_integration|program_management,,,,https://hiredtroops.com/skillbridge/providers/leidos/,2026-08-29,Leidos is documented as a direct SkillBridge provider.
peraton,Peraton,Peraton,defense_contractor,peraton,https://www.careers.peraton.com/,"National-security contractor with cleared cyber defense, exploitation analysis, SIGINT/cyber, JCAC-recognizing, and TS/SCI poly roles.",careers_page,https://www.careers.peraton.com/jobs/computer-network-defense-analyst-cnda-lead-associate-ts-sci-w-poly-fort-meade-maryland-164773-jobs--cyber-security--,2026-08-29,active,direct_employer,direct_internship,False,True,cyber|intelligence|space|it|systems_engineering|cleared_technical,,,,https://www.peraton.com/company/our-commitment-to-veterans,2026-08-29,Peraton documents SkillBridge as part of its military transition program.
booz-allen,Booz Allen Hamilton,Booz Allen Hamilton,defense_contractor,booz-allen,https://www.boozallen.com/careers.html,"Consulting and national-security cyber employer relevant to cyber operations, red team, blue team, analytics, and mission planning.",careers_page,https://www.boozallen.com/careers.html,2026-08-29,active,hiring_our_heroes,hiring_our_heroes,True,True,cyber|intelligence|ai_data|engineering|acquisition|consulting,,,,https://www.boozallen.com/careers/military-talent.html,2026-08-29,Booz Allen's military talent path is documented through Hiring Our Heroes fellowship participation.
caci,CACI,CACI,defense_contractor,caci,https://careers.caci.com/,"Defense and intelligence contractor relevant to cyber operations, exploitation, analysis, cleared engineering, and mission support.",careers_page,https://careers.caci.com/,2026-08-29,unknown,,,,,,,,,,,
mantech,ManTech,ManTech,defense_contractor,mantech,https://www.mantech.com/careers/,"National-security technology employer relevant to cleared cyber, systems engineering, network defense, and mission IT roles.",careers_page,https://www.mantech.com/careers/,2026-08-29,active,direct_employer,direct_internship,False,True,cyber|software|cloud|intelligence|cleared_it,,,,https://hiredtroops.com/skillbridge/providers/mantech-international-corporation/,2026-08-29,ManTech is documented as a direct SkillBridge provider.
saic,SAIC,SAIC,defense_contractor,saic,https://jobs.saic.com/,"Government technology and mission-support employer relevant to cyber defense, security engineering, network operations, and cleared IT.",careers_page,https://jobs.saic.com/,2026-08-29,active,direct_employer,direct_internship,False,True,engineering|it|electronics|manufacturing|systems_integration,,,,https://hiredtroops.com/skillbridge/providers/science-applications-international-corporation-saic/,2026-08-29,SAIC is documented as a direct SkillBridge provider.
gdit,General Dynamics Information Technology,General Dynamics,defense_contractor,general-dynamics,https://www.gdit.com/careers/,"General Dynamics IT business relevant to cleared cyber defense, network engineering, infrastructure security, and mission support.",careers_page,https://www.gdit.com/careers/,2026-08-29,active,direct_employer,direct_internship,False,True,enterprise_it|cloud|cyber|intelligence|software|data,,,,https://www.gdit.com/careers/featured-career-stages/military-veterans/skillbridge/,2026-08-29,GDIT documents a direct SkillBridge transition program.
kratos,Kratos Defense,Kratos Defense & Security Solutions,defense_contractor,kratos,https://www.kratosdefense.com/careers,"Defense and space systems employer relevant to satellite communications, ground systems, RF, and space cyber backgrounds.",careers_page,https://www.kratosdefense.com/careers,2026-08-29,unknown,,,,,,,,,,,
palo-alto-networks,Palo Alto Networks / Unit 42,Palo Alto Networks,commercial_cyber,palo-alto-networks,https://jobs.paloaltonetworks.com/,"Commercial cybersecurity employer with Unit 42 DFIR, threat hunting, malware, and endpoint investigation roles.",careers_page,https://jobs.paloaltonetworks.com/en/job/santa-clara/consultant-dfir-reactive-services-unit-42/47263/96174875472,2026-08-29,active,direct_employer,direct_internship,True,True,cyber|soc|threat_analysis|security_engineering|consulting,,,,https://jobs.paloaltonetworks.com/en/military,2026-08-29,Palo Alto Networks documents direct military and veteran cybersecurity pathways including SkillBridge.
crowdstrike,CrowdStrike,CrowdStrike,commercial_cyber,,https://www.crowdstrike.com/careers/,"Commercial cybersecurity employer relevant to endpoint security, threat hunting, incident response, malware, and intelligence roles.",careers_page,https://www.crowdstrike.com/careers/,2026-08-29,unknown,,,,,,,,,,,
microsoft,Microsoft,Microsoft,commercial_cyber,,https://careers.microsoft.com/,"Commercial cloud and security employer relevant to security engineering, incident response, identity, cloud defense, and threat intelligence.",careers_page,https://careers.microsoft.com/,2026-08-29,active,training_to_employment,mssa|datacenter_pathway|direct_internship,True,True,cyber|software|cloud|sysadmin|datacenter_technicians,,,,https://hiredtroops.com/skillbridge/providers/microsoft/,2026-08-29,Microsoft's SkillBridge routes include MSSA and datacenter pathways.
